iter	Passed	Remaining
0	27	4212
1	53	3975
2	75	3766
3	99	3683
4	122	3611
5	147	3586
6	170	3529
7	193	3479
8	215	3425
9	240	3421
10	264	3396
11	287	3356
12	310	3322
13	334	3300
14	361	3301
15	384	3271
16	414	3291
17	436	3251
18	460	3223
19	483	3193
20	507	3163
21	530	3135
22	554	3107
23	578	3087
24	600	3052
25	623	3023
26	647	2997
27	671	2975
28	696	2953
29	719	2924
30	742	2899
31	766	2873
32	789	2846
33	812	2820
34	837	2798
35	861	2774
36	885	2752
37	921	2763
38	943	2735
39	967	2710
40	992	2685
41	1015	2659
42	1038	2633
43	1061	2606
44	1085	2581
45	1108	2553
46	1134	2534
47	1159	2512
48	1189	2500
49	1213	2474
50	1235	2446
51	1259	2422
52	1285	2400
53	1308	2375
54	1331	2348
55	1354	2322
56	1379	2299
57	1403	2275
58	1427	2249
59	1450	2223
60	1474	2199
61	1504	2184
62	1531	2163
63	1556	2140
64	1581	2117
65	1611	2100
66	1636	2075
67	1661	2052
68	1684	2026
69	1709	2002
70	1733	1977
71	1757	1952
72	1780	1927
73	1803	1901
74	1828	1877
75	1851	1851
76	1874	1825
77	1897	1800
78	1920	1774
79	1944	1750
80	1968	1725
81	1991	1699
82	2014	1674
83	2038	1649
84	2062	1625
85	2085	1600
86	2108	1575
87	2133	1551
88	2155	1525
89	2178	1500
90	2201	1475
91	2223	1450
92	2247	1425
93	2270	1400
94	2292	1375
95	2315	1350
96	2340	1327
97	2363	1302
98	2386	1277
99	2409	1253
100	2433	1228
101	2457	1204
102	2480	1180
103	2505	1156
104	2530	1132
105	2554	1108
106	2577	1084
107	2601	1059
108	2624	1035
109	2648	1011
110	2672	987
111	2694	962
112	2716	937
113	2740	913
114	2763	889
115	2786	864
116	2810	840
117	2832	816
118	2857	792
119	2880	768
120	2903	743
121	2927	719
122	2950	695
123	2974	671
124	2997	647
125	3019	623
126	3042	598
127	3066	574
128	3088	550
129	3111	526
130	3134	502
131	3157	478
132	3181	454
133	3204	430
134	3227	406
135	3250	382
136	3273	358
137	3297	334
138	3322	310
139	3345	286
140	3369	262
141	3394	239
142	3417	215
143	3439	191
144	3462	167
145	3489	143
146	3511	119
147	3535	95
148	3558	71
149	3581	47
150	3604	23
151	3626	0
